,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
205,8919694ac1bffff,0,0,0,0,0
206,8919694144fffff,0,0,0,0,0
207,89196bb3587ffff,0,0,0,0,0
208,89196bb3463ffff,0,0,0,0,0
209,89196948a4bffff,1,0,0,1,0
210,89196bb262bffff,0,0,0,0,0
211,891969483d7ffff,0,0,0,1,0
212,8919694994fffff,1,0,0,1,0
213,89196948d73ffff,0,1,0,0,0
214,8919694aa23ffff,0,0,0,0,0
215,89196bb20bbffff,0,0,0,0,0
216,891969589a7ffff,0,0,0,0,0
217,8919694b513ffff,0,1,1,1,0
218,89196bb244bffff,0,0,0,0,0
219,891969480abffff,0,0,0,1,0
220,89196b8699bffff,0,0,0,0,0
221,8919694a2abffff,0,1,0,0,0
222,89196948513ffff,0,0,1,1,0
223,891969488d7ffff,0,0,0,1,0
224,8919694ac27ffff,0,0,0,0,0
225,89196b86b13ffff,0,0,0,0,0
226,89196b84897ffff,0,0,0,0,0
227,8919694ab7bffff,0,1,0,0,0
228,89196bb20b3ffff,0,0,0,0,0
229,8919694a213ffff,0,1,1,1,0
230,891969412a3ffff,0,0,0,0,1
231,8919694ae8fffff,0,0,1,1,0
232,89196bb2083ffff,0,0,0,0,0
233,8919694f4cbffff,0,0,0,0,0
234,8919694830bffff,0,0,0,1,0
235,89196949527ffff,0,0,0,0,0
236,89196b86ba3ffff,0,0,0,0,0
237,8919694840fffff,0,0,1,1,0
238,8919694a433ffff,0,0,0,0,0
239,89196948aa7ffff,0,0,1,0,0
240,89196bb31abffff,0,0,0,0,0
241,8919694aca7ffff,0,0,0,0,0
242,89196958a2bffff,0,0,0,0,0
243,8919694a217ffff,0,1,0,1,0
244,8919694f49bffff,0,0,1,0,0
245,89196949853ffff,0,1,0,1,0
246,8919694800bffff,0,0,0,0,0
247,8919694b0c7ffff,0,0,0,0,0
248,89196949d4bffff,0,1,1,1,0
249,8919694e6d7ffff,0,0,0,0,0
250,89196949093ffff,0,0,0,0,0
251,891969413c3ffff,0,0,0,1,0
252,8919694a34fffff,0,1,0,0,0
253,89196948067ffff,0,0,0,0,0
254,891969494d7ffff,0,0,0,0,0
255,8919694163bffff,0,0,0,0,0
256,89196941e6fffff,0,0,0,0,0
257,89196bb35b3ffff,0,0,0,0,0
258,89196bb26d7ffff,0,0,0,0,0
259,8919694a44fffff,0,0,0,0,0
260,8919694a1d7ffff,0,0,0,0,1
261,8919694946bffff,0,0,0,0,0
262,8919694b4c3ffff,0,1,0,0,0
263,89196bb2663ffff,0,0,0,0,0
264,8919694ac17ffff,0,0,0,0,0
265,891969416b3ffff,0,0,0,0,0
266,89196bb2003ffff,0,0,0,0,0
267,8919694a6dbffff,0,1,0,0,1
268,8919694869bffff,0,0,0,0,0
269,89196948123ffff,0,1,0,1,0
270,891969412cbffff,0,0,0,0,1
271,89196959a27ffff,0,0,1,0,0
272,891969416c7ffff,0,0,0,0,0
273,8919694851bffff,0,0,1,1,0
274,89196949573ffff,0,0,0,0,0
275,89196941ed7ffff,0,1,1,0,0
276,89196bb205bffff,0,0,0,0,0
277,89196948ed7ffff,0,1,0,0,0
278,8919694adafffff,0,0,0,0,0
279,89196949bc3ffff,0,0,0,1,0
280,8919694b527ffff,0,1,0,1,0
